OTU_ID	S100	S101	S109	S110	S111	S112	S113	S121	S122	S123	S124	S125	S133	S134	S135	S136	S137	S145	S146	S147	S148	S149	S157	S158	S159	S160	S161	S169	S170	S171	S172	S173	S181	S182	S183	S184	S185	S504	S505	S506	S507	S508	S509	S516	S517	S518	S519	S520	S521	S528	S529	S530	S531	S532	S533	S540	S541	S542	S543	S544	S545	S552	S553	S554	S555	S556	S557	S564	S565	S566	S567	S568	S569	S576	S577	S578	S579	S580	S581	S588	S589	S590	S591	S592	S593	S97	S98	S99
Otu45	344	311	470	1484	488	83	345	783	528	1179	70	166	240	417	46	222	103	1455	55	1399	139	84	124	184	481	1538	161	112	171	64	475	49	66	44	29	27	37	171	35	55	5	26	78	49	651	896	49	8	13	3	12	10	21	3	182	172	29	33	7	1	36	17	16	22	4	5	496	2	37	20	68	33	8	60	50	7	29	26	33	0	2	0	7	9	24	405	98	1716
Otu11	131	152	960	1215	675	179	561	1732	894	693	113	256	592	530	147	78	134	734	198	1069	327	420	261	348	1261	1074	260	446	165	279	7101	343	73	126	98	181	142	86	63	29	32	25	34	54	1423	1364	11	24	9	22	27	18	18	3	153	550	55	15	28	23	33	82	31	23	8	10	2102	101	142	45	3126	125	36	137	87	8	108	48	31	2	0	1	9	14	3	364	128	1159
Otu289	18	51	237	258	100	44	63	119	287	140	9	58	271	33	42	17	31	81	20	111	55	39	48	34	255	108	101	65	18	50	526	104	24	4	11	5	7	8	12	3	4	4	1	21	147	278	7	1	3	5	9	3	15	3	71	79	3	10	5	1	3	7	7	0	4	0	280	0	0	17	352	4	6	14	5	4	3	8	1	7	5	17	8	4	2	131	22	230
Otu3224	5	5	12	10	1	0	3	0	5	1	1	0	2	5	0	2	0	2	0	5	1	1	3	1	1	5	0	1	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	3	1	50
Otu3105	10	16	80	191	68	19	43	25	21	8	27	16	8	42	0	24	19	286	3	64	2	2	11	24	2	248	0	1	6	4	53	2	2	9	0	7	3	7	2	2	1	0	4	8	30	22	8	2	7	0	4	0	1	0	11	51	1	0	1	1	5	0	1	1	1	0	16	7	8	1	20	1	3	5	4	0	7	1	0	6	0	0	1	3	1	27	16	114
Otu1	1979	776	5481	9898	5478	804	3191	8313	3539	5396	1929	1814	2541	2586	878	1411	920	2867	736	2827	1160	827	1501	1682	4476	11246	1191	808	731	723	17675	1062	1001	1186	803	2572	696	369	272	202	220	159	208	285	9988	8623	165	309	90	370	407	205	259	87	2241	4023	498	168	342	846	138	189	64	161	97	75	4894	538	271	145	12153	165	148	504	338	87	491	520	128	365	182	328	221	203	73	2278	1175	10768
Otu2787	13	0	87	26	33	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	3	0	131	0	0	4	0	13	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	4	0	0	0	0	0	0	0	2	4	4
Otu278	39	40	95	208	309	28	86	161	171	81	130	51	37	89	17	54	20	265	22	97	21	20	25	32	93	413	35	72	35	18	216	27	14	25	6	15	11	7	4	3	0	2	3	5	46	113	3	3	5	2	2	2	6	1	31	57	6	6	5	6	5	1	3	4	0	2	59	0	4	3	49	6	2	15	5	0	13	18	4	0	0	0	0	0	2	85	36	256
Otu16	330	250	721	1701	1484	161	656	909	776	424	899	320	209	317	89	257	54	1225	62	218	99	109	164	196	353	2399	89	207	135	17	1311	175	11	106	45	105	24	50	17	27	2	8	37	4	140	421	14	12	13	3	1	6	10	0	77	409	51	36	7	3	19	1	3	3	3	0	332	0	21	9	117	21	26	50	37	8	78	41	15	0	0	0	1	2	5	414	293	1303
Otu3	455	719	2338	10674	6918	806	3042	2579	3568	462	1166	1755	102	444	132	738	1766	2596	162	365	31	106	235	412	1251	5688	68	61	320	27	683	109	83	187	153	258	101	75	49	44	58	31	33	324	2778	808	74	15	6	42	90	18	24	17	350	614	87	199	25	4	27	86	79	21	57	37	576	21	21	9	555	25	31	26	75	22	29	42	4	15	12	18	35	47	21	1434	1459	23755
