,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu494,Bacteria,Firmicutes,Clostridia,Clostridia_or,Hungateiclostridiaceae,Saccharofermentans,NA
Otu495,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,NA
Otu496,Bacteria,Firmicutes,Clostridia,uncultured,uncultured_fa,uncultured_ge,NA
Otu497,Bacteria,Bacteroidota,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified,NA
Otu498,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,UCG-004,NA
Otu499,Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,Clostridia_UCG-014_fa,Clostridia_UCG-014_ge,NA
Otu500,Bacteria,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA
Otu501,Bacteria,Firmicutes,Bacilli,RF39,RF39_fa,RF39_ge,NA
Otu502,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,Selenomonadaceae_unclassified,NA
Otu503,unknown,unknown_unclassified,unknown_unclassified,unknown_unclassified,unknown_unclassified,unknown_unclassified,NA
Otu504,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Mogibacterium,NA
Otu505,Bacteria,Firmicutes,Bacilli,RF39,RF39_fa,RF39_ge,NA
Otu506,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,NA
Otu507,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Moryella,NA
Otu508,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_unclassified,NA
Otu509,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_unclassified,NA
Otu510,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,NA
Otu511,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,NA
Otu512,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_unclassified,NA
Otu513,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,NA
Otu514,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_unclassified,NA
Otu515,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Selenomonadaceae,uncultured,NA
Otu516,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,NA
Otu517,Bacteria,Desulfobacterota,Desulfuromonadia,Bradymonadales,Bradymonadales_fa,Bradymonadales_ge,NA
Otu518,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Otu519,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,NA
Otu520,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NK4A214_group,NA
Otu521,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Oscillospiraceae_unclassified,NA
Otu522,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Anaeroplasma,NA
Otu523,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,NA
Otu524,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,UCG-004,NA
Otu525,Bacteria,Desulfobacterota,Desulfobacterota_unclassified,Desulfobacterota_unclassified,Desulfobacterota_unclassified,Desulfobacterota_unclassified,NA
